"TrajectID";"MechanismID";"SubMechanismID";"Rekenmethode";"FORM_StartMethod";"FORM_NrIterations";"FORM_RelaxationFactor";"FORM_EpsBeta";"FORM_EpsHOH";"FORM_EpsZFunc";"Ds_StartMethod";"Ds_Min";"Ds_Max";"Ds_VarCoefficient";"NI_UMin";"NI_Umax";"NI_NumberSteps"
"35-2";101;102;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"35-2";101;103;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"45-2";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"45-2";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"45-2";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"45-2";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"45-2";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"45-2";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"45-2";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"46-1";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"46-1";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"46-1";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"46-1";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"46-1";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"46-1";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"46-1";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"52-1";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
